Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,-0.462392807007,-0.402979850769,0,-14.5653877258,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,-0.462393760681,-0.402979850769,0,-14.102994442,-12.6938529015,0
0,1,1,1,-0.462393760681,-0.402978897095,0,-14.102994442,-12.2908735275,0
0,1,0,1,-0.462392807007,-0.402978897095,0,-14.5653877258,-12.2908735275,0
0,0,1,0,-0.462393760681,-0.402979850769,0,-14.102994442,-12.6938529015,0
0,1,0,1,-0.462392807007,-0.402978897095,0,-14.5653877258,-12.2908735275,0
0,1,0,0,-0.462392807007,-0.402979850769,0,-14.5653877258,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,-0.462392807007,-0.402979850769,0,-13.6406011581,-12.6938529015,0
0,1,2,1,-0.462392807007,-0.402978897095,0,-13.6406011581,-12.2908735275,0
0,1,1,1,-0.462393760681,-0.402978897095,0,-14.102994442,-12.2908735275,0
0,0,2,0,-0.462392807007,-0.402979850769,0,-13.6406011581,-12.6938529015,0
0,1,1,1,-0.462393760681,-0.402978897095,0,-14.102994442,-12.2908735275,0
0,1,1,0,-0.462393760681,-0.402979850769,0,-14.102994442,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,-0.462393760681,-0.402979850769,0,-13.1782078743,-12.6938529015,0
0,1,3,1,-0.462393760681,-0.402978897095,0,-13.1782078743,-12.2908735275,0
0,1,2,1,-0.462392807007,-0.402978897095,0,-13.6406011581,-12.2908735275,0
0,0,3,0,-0.462393760681,-0.402979850769,0,-13.1782078743,-12.6938529015,0
0,1,2,1,-0.462392807007,-0.402978897095,0,-13.6406011581,-12.2908735275,0
0,1,2,0,-0.462392807007,-0.402979850769,0,-13.6406011581,-12.6938529015,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,-0.462392807007,-0.402979850769,0,-12.7158145905,-12.6938529015,0
0,1,4,1,-0.462392807007,-0.402978897095,0,-12.7158145905,-12.2908735275,0
0,1,3,1,-0.462393760681,-0.402978897095,0,-13.1782078743,-12.2908735275,0
0,0,4,0,-0.462392807007,-0.402979850769,0,-12.7158145905,-12.6938529015,0
0,1,3,1,-0.462393760681,-0.402978897095,0,-13.1782078743,-12.2908735275,0
0,1,3,0,-0.462393760681,-0.402979850769,0,-13.1782078743,-12.6938529015,0
